sourcе,stеm,last stem vowel,verb class,stem0,stem1,stem2,stеm tуpе,stem notes,principlе pаrts,unaccented principle parts,infinitivе,prеsеncе,futurе,аorist,impеrаtivе,mаsdаr,аgrееmеnt_slot,vеrb formаtion,verb formation stеm,pos_verb formation stem,vаriаtion,cаusаtivе,rеduplicаtion,аnothеr stеm rеduplicаtion,-ахъд,-д,rеduplicаtеd + д,rеduplicаtеd + р > д,rеduplicаtеd + л > д,rеduplicаtеd + м > д,-гъ,-х,-ар,-анхъ,-ар-д,-д-ар,-олд,и > е,у > е,-тI,dеfinition,id_dеfinition,X,Y,X2,Y2,lability,transitivity,light verb,context,context_ru,example_source,mеаning_ru,rеfеrеncе,notеs,commеnts,context2,еxаmplе_sourcе
"áгълъ/изе (-ула, -ила, -ана, -е) 1) (по)терять сознание 2) (по)терять, утрачивать, утратить чувствительность 3) (по)терять рассудок; дос бицунеб щиб, дов ~унищ вугев? что он говорит, не потерял ли он рассудок?",áгълъ,и,1,áгълъ,áгълъи,áгълъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,áгълъизаб,,,,,,,,,,,,,,,,,,,"(по)терять, утрачивать, утратить чувствительность",2,ABS,N/A,,,,,,"дос бицунеб щиб, дов ~унищ вугев?","что он говорит, не потерял ли он рассудок?",Гимбатов М.М. Аварско-русский словарь. 2006. / соседнее значение той же статьи,утратить чувствительность,Gimbаtov 2006,,,,
"áгълъ/изе (-ула, -ила, -ана, -е) 1) (по)терять сознание 2) (по)терять, утрачивать, утратить чувствительность 3) (по)терять рассудок; дос бицунеб щиб, дов ~унищ вугев? что он говорит, не потерял ли он рассудок?",áгълъ,и,1,áгълъ,áгълъи,áгълъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,áгълъизаб,,,,,,,,,,,,,,,,,,,"(по)терять рассудок; дос бицунеб щиб, дов ~унищ вугев? что он говорит, не потерял ли он рассудок?",3,ABS,N/A,,,,,,"дос бицунеб щиб, дов агълъунищ вугев?","что он говорит, не потерял ли он рассудок?",Гимбатов М.М. Аварско-русский словарь. 2006.,потерять рассудок,Gimbаtov 2006,,,,
"áзинаб/изе (-ула, -ила, -уна, -е) понуд. доводить, довести до похудания; вызывать, вызвать похудение; истощать, истощить; унтуца азинавуна дов болезнь его истощила",áзинаб,и,2,áзинаб,áзинаби,áзинабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áз,verb,,,,,,,,,,,,,,,,,,,,,"понуд. доводить, довести до похудания; вызывать, вызвать похудение; истощать, истощить; унтуца азинавуна дов болезнь его истощила",1,ERG,ABS,,,,,,унтуца азинавуна дов,болезнь его истощила,Гимбатов М.М. Аварско-русский словарь. 2006.,доводить,Gimbаtov 2006,,,,
"áз/ине (-уна, -ина, -ана) (по)худеть, исхудать; осунуться; (о)тощать, истощаться, истощиться; быть худым, тощим; яс ~ине тоге дуца не давай девочке худеть; мунгоги ~ун вугогури, дун анцІгогІан цІакъ и ты похудел намного (букв. десять раз) больше, чем я",áз,и,1n,áз,áзи,áзa,,,-уна; -ина; -ана,-уна; -ина; -ана,-ине,-уна,-ина,-ана,N,-ин,0,,,,,áзинаб,,,,,,,,,,,,,,,,,,,"(по)худеть, исхудать; осунуться; (о)тощать, истощаться, истощиться; быть худым, тощим; яс ~ине тоге дуца не давай девочке худеть; мунгоги ~ун вугогури, дун анцІгогІан цІакъ и ты похудел намного (букв. десять раз) больше, чем я",1,ABS,N/A,,,,,,"мунгоги ~ун вугогури, дун анцІгогІан цІакъ","и ты похудел намного (букв. десять раз) больше, чем я",Гимбатов М.М. Аварско-русский словарь. 2006.,исхудать,Gimbаtov 2006,,,,
"áлхинаб/изе (-ула, -ила, -уна, -е) понуд. от áлхине",áлхинаб,и,2,áлхинаб,áлхинаби,áлхинабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áлх,verb,,,,,,,,,,,,,,,,,,,,,понуд. от áлхине,1,N/A,ABS,,,,,,,,,понуд. от áлхине,Gimbаtov 2006,,,,
"áлх/ине (-уна, -ина, -ана) 1) промахнуться, не попасть в цель; лъикІав чанахъанасул гулла ~ алхунаро хороший охотник не промахнётся; букв. у хорошего охотника пуля не промахнётся 2) не придерживаться назначенного времени; нарушать, нарушить установленный срок; гІуждаса ~ине не попасть в срок, не попасть в назначенное время; как ~ине бегьуларо нельзя нарушать сроки намаза",áлх,и,1n,áлх,áлхи,áлхa,,,-уна; -ина; -ана,-уна; -ина; -ана,-ине,-уна,-ина,-ана,N,-ин,0,,,,,áлхинаб,,,,,,,,,,,,,,,,,,,"промахнуться, не попасть в цель; лъикІав чанахъанасул гулла ~ алхунаро хороший охотник не промахнётся; букв. у хорошего охотника пуля не промахнётся",1,ABS,N/A,,,,,,лъикІав чанахъанасул гулла ~ алхунаро,хороший охотник не промахнётся; букв. у хорошего охотника пуля не промахнётся,Гимбатов М.М. Аварско-русский словарь. 2006.,промахнуться,Gimbаtov 2006,,,,
"áлх/ине (-уна, -ина, -ана) 1) промахнуться, не попасть в цель; лъикІав чанахъанасул гулла ~ алхунаро хороший охотник не промахнётся; букв. у хорошего охотника пуля не промахнётся 2) не придерживаться назначенного времени; нарушать, нарушить установленный срок; гІуждаса ~ине не попасть в срок, не попасть в назначенное время; как ~ине бегьуларо нельзя нарушать сроки намаза",áлх,и,1n,áлх,áлхи,áлхa,,,-уна; -ина; -ана,-уна; -ина; -ана,-ине,-уна,-ина,-ана,N,-ин,0,,,,,áлхинаб,,,,,,,,,,,,,,,,,,,"не придерживаться назначенного времени; нарушать, нарушить установленный срок; гІуждаса ~ине не попасть в срок, не попасть в назначенное время; как ~ине бегьуларо нельзя нарушать сроки намаза",2,N/A,ABS,,,,,,как ~ине бегьуларо,нельзя нарушать сроки намаза,Гимбатов М.М. Аварско-русский словарь. 2006.,не придерживаться назначенного времени,Gimbаtov 2006,,,,
"ахи́рлъ/изе (-ула, -ила, -ана) приближаться — о конце; дуниял ~ун буго приближаетя конец света",ахи́рлъ,и,1,ахи́рлъ,ахи́рлъи,ахи́рлъа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,N,-и,0,,,,,,,,,,,,,,,,,,,,,,,,приближаться — о конце; дуниял ~ун буго приближаетя конец света,1,ABS,N/A,,,,,,дуниял ~ун буго,приближаетя конец света,Гимбатов М.М. Аварско-русский словарь. 2006.,приближаться — о конце,Gimbаtov 2006,,,,
"ахтá-гудазабизе (-ула, -ила, -уна, -е) диал. понуд. от ахтá-гудазе см. ахтáзабизе, ахцáзабизе",ахтá-гудазаб,и,2,ахтá-гудазаб,ахтá-гудазаби,ахтá-гудазабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,ахтá-гуда,verb,,,,,,,,,,,,,,,,,,,,,"диал. понуд. от ахтá-гудазе см. ахтáзабизе, ахцáзабизе",1,N/A,N/A,,,,,,,,,от ахтá-гудазе,Gimbаtov 2006,диал.,,,
"ахтá-гуда/зе (-ла, -ла, -на, -ай) диал. см. ахтáзе, ахцáзе",ахтá-гуда,,6,ахтá-гуда,ахтá-гуда,ахтá-гуда,,,-ла; -ла; -на,-ла; -ла; -на,-зе,-ла,-ла,-на,-й,-й,0,,,,,ахтá-гудазаб,,,,,,,,,,,,,,,,,,,"диал. см. ахтáзе, ахцáзе",1,N/A,N/A,,,,,,,,,см. ахтáзе,Gimbаtov 2006,диал.,,,
"ахтáзаб/изе (-ула, -ила, -уна, -е) диал. понуд. от ахтáзе см. ахтá-гудазабизе, ахцáзабизе",ахтáзаб,и,2,ахтáзаб,ахтáзаби,ахтáзабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,ахтá,verb,,,,,,,,,,,,,,,,,,,,,"диал. понуд. от ахтáзе см. ахтá-гудазабизе, ахцáзабизе",1,N/A,N/A,,,,,,,,,понуд от ахтáзе,Gimbаtov 2006,диал.,,,
"ахтá/зе (-ла, -ла, -на, -ай) диал. см. ахтá-гудазе, ахцáзе",ахтá,,6,ахтá,ахтá,ахтá,,,-ла; -ла; -на,-ла; -ла; -на,-зе,-ла,-ла,-на,-й,-й,0,,,,,ахтáзаб,,,,,,,,,,,,,,,,,,,"диал. см. ахтá-гудазе, ахцáзе",1,N/A,N/A,,,,,,,,,см. ахтá-гудазе,Gimbаtov 2006,диал.,,,
"ахцáзаб/изе (-ула, -ила, -уна, -е) понуд. приводить, привести чем-л. к вялости; унтуца ахцазавун вуго дов он в вялом состоянии от болезни",ахцáзаб,и,2,ахцáзаб,ахцáзаби,ахцáзабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,ахцá,verb,,,,,,,,,,,,,,,,,,,,,"понуд. приводить, привести чем-л. к вялости; унтуца ахцазавун вуго дов он в вялом состоянии от болезни",1,ERG,ABS,,,,,,унтуца ахцазавун вуго дов,он в вялом состоянии от болезни,Гимбатов М.М. Аварско-русский словарь. 2006.,приводить,Gimbаtov 2006,,,,
"ахцá/зе (-ла, -ла, -на, -ай) находиться в вялом состоянии, в приглушённом состоянии; ~н вуго эмен, щиб досие лъугьарабали отец в вялом состоянии, не знаю, что с ним",ахцá,,6,ахцá,ахцá,ахцá,,,-ла; -ла; -на,-ла; -ла; -на,-зе,-ла,-ла,-на,-й,-й,0,,,,,ахцáзаб,,,,,,,,,,,,,,,,,,,"находиться в вялом состоянии, в приглушённом состоянии; ~н вуго эмен, щиб досие лъугьарабали отец в вялом состоянии, не знаю, что с ним",1,ABS,N/A,,,,,,"~н вуго эмен, щиб досие лъугьарабали",,Гимбатов М.М. Аварско-русский словарь. 2006.,находиться в вялом состоянии,Gimbаtov 2006,,,,
"ахІдéзаб/изе (-ула, -ила, -уна, -е) учащ. понуд. заставлять, заставить кого-л. кричать; хъаравул ахІдезавуге нужеца вы не заставляйте сторожа кричать",ахІдéзаб,и,2,ахІдéзаб,ахІдéзаби,ахІдéзабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áхІ,verb,,,,,,,,,,,,,,,,,,,,,"учащ. понуд. заставлять, заставить кого-л. кричать; хъаравул ахІдезавуге нужеца вы не заставляйте сторожа кричать",1,ERG,ABS,,,,,,хъаравул ахІдезавуге нужеца вы не заставляйте сторожа кричать,,Гимбатов М.М. Аварско-русский словарь. 2006.,заставлять,Gimbаtov 2006,,,,
"ахІд/éзе (-óла, -éла, -áна, -é) учащ. кричать; покрикивать; раскричаться; лъималазде ~езе бегьуларо на детей нельзя кричать; ~оларел, хІанчІоларел, жаниве чи виччаларел загадка не лает, не кусает, вовнутрь не пускает (кІулал замок)",ахІд,é,3/4,ахІд,ахІдé,ахІдá,,,-óла; -éла; -áна,-ола; -ела; -ана,-éзе,-óла,-éла,-áна,-é,-й,0,durative -д,áхІ,verb,,ахІдéзаб,,,,,,,,,,,,,,,,,,,"учащ. кричать; покрикивать; раскричаться; лъималазде ~езе бегьуларо на детей нельзя кричать; ~оларел, хІанчІоларел, жаниве чи виччаларел загадка не лает, не кусает, вовнутрь не пускает (кІулал замок)",1,ABS,N/A,,,,,,"ГӀицІго борхалъуда цӀумал ахІдола
Радал-бакъанида ахІдола магъущ; лъималазде ~езе бегьуларо",;на детей нельзя кричать,Гимбатов М.М. Аварско-русский словарь. 2006.,кричать,Gimbаtov 2006,,,,
"áхІизаб/изе (-ула, -ила, -уна, -е) понуд. от áхІизе",áхІизаб,и,2,áхІизаб,áхІизаби,áхІизабу,,,-ула; -ила; -уна,-ула; -ила; -уна,-изе,-ула,-ила,-уна,-е,-и,0,causative,áхІ,verb,,,,,,,,,,,,,,,,,,,,,понуд. от áхІизе,1,ERG,ABS,,,,,,Х1акъикъияв имамас мама ах1изабизе буго башириль агьлуялда.,,Гимбатов М.М. Аварско-русский словарь. 2006.,от áхІизе,Gimbаtov 2006,,,,instаgrаm (https://www.googlе.com/url?sа=t&sourcе=wеb&rct=j&opi=89978449&url=https://www.instаgrаm.com/rееl/DMRK1Q9tsIR/&vеd=2аhUKеwju5rXOp6KUаxUF_7sIHSwlLTsQFnoеCBgQаQ&usg=аOvVаw3уу0TjWGеFuu9U5еOGx-vl) 
"áхІ/изе (-ула, -ила, -ана, -е) 1) кричать; гьаракь борхун ~изе кричать, повысив голос 2) (по)звать, подозвать, вызывать, вызвать; взывать; Аллагьасде ~изе взывать к Аллаху; тохтур ~изе вызвать врача; гвавулъе ~изе звать в помочь; нижеца дол къецалде ~ана мы вызвали их на соревнование; дов армиялде ~ун вуго его призвали в армию; лъимал гьанире ~е зовите сюда детей;  цІар ~изе а) обращаться, называть по имени кого-л. б) диал. давать имя (ребёнку) 3) призывать, призвать к чему-л.; требовать; гІадлуялде ~изе призвать к порядку; требовать дисциплину; кумекалъе ~изе призывать на помощь; телефоналде ~улев вуго мун тебя вызывают к телефону 4) приглашать, пригласить; (за)звать; берталъе ~изе приглашать на свадьбу; зазвать на свадьбу; гьоболлъухъ ~изе приглашать в гости, зазвать в гости; данделъиялде ~изе приглашать на собрание; къулгьудулъе ~изе зазвать на поминки; рокъоре ~изе приглашать домой; кагъат битІун ~изе приглашать письмом; ~ун вачІине явиться по приглашению; ~ичІого вачІине явиться без приглашения; ~ичІев гьобол незваный, непрошеный гость 5) созывать, созвать; данделъи ~изе созвать собрание 6) (по)звонить; телефоналъ ~изе позвонить по телефону; хІалтІуде ~изе позвонить на работу 7) (с)петь; кечІ ~изе спеть песню; турки ~ спеть тýрки (см.) 8) диал. гнать; къватІибе ~изе выгнать; нахъе ~изе угнать, отогнать  ~ун биччан тараб безнадзорный",áхІ,и,1,áхІ,áхІи,áхІа,,,-ула; -ила; -ана,-ула; -ила; -ана,-изе,-ула,-ила,-ана,-е,-и,0,,,,,áхІизаб,,,,ахІд,,,,,,,,,,,,,,,"кричать; гьаракь борхун ~изе кричать, повысив голос",1,ABS,N/A,,,,,,гьаракь борхун ахІизе,"кричать, повысив голос",Гимбатов М.М. Аварско-русский словарь. 2006.,кричать,Gimbаtov 2006,,,,
